Google,Search/portal,349758716,8169550654
Bing,Search/portal,271929865,5669443547
Yahoo!,Search/portal,233479611,4154504780
Microsoft,Software,220410208,1457071144
Facebook,Social network,218860914,4553369332
YouTube,Video,203258182,1261959101
Wikipedia,Reference,154174390,677773339
AOL,Search/portal,128146575,1798928826
eBay,Retail,121740943,1136621952
Apple,Computer,119232527,784462899
Amazon,Retail,111945278,498783008
Blogger,Blogging,110738193,509238135
Ask,Search/portal,100846108,471100728
Fox Interactive Media,Media/news,92899123,623816316
Mozilla,Software,67949332,164320932
Real Network,Software,61513698,337871469
Adobe,Software,53002496,98997677
About,Reference,52543328,120546354
PayPal,Financial,48552302,183121758
WordPress,Blogging,48538401,131518828
Weather Channel,Weather,47048043,381890539
Glam Media,Media/news,46723050,144259535
CNN,Media/news,44437129,315237473
Twitter,Social network,42138681,260435459
Skype,Voip,39220786,494959820
CBS,Media/news,38520325,102607440
IMDb,Reference,37717190,118408023
Wal-Mart,Retail,35538645,95283768
Craigslist,Retail,35537183,276230288
BBC,Media/news,35013985,313317910
Terra,Portal,33824315,294547251
CNET,Tech news,33647272,70218339
Orange,Portal,31807197,504188450
Disney Online,Portal,31394500,97511302
AT&T,Portal,30219046,121777665
NetShelter Technology,Tech news,29821347,80556448
Flickr,Photo sharing,29549675,75195354
Picasa,Photo sharing,29118829,146136670
Gorilla Nation Websites,Commerce,29101945,81010902
WikiAnswers,Reference,28825267,55624173
Orkut,Social network,28419073,540847650
Chase,Financial,28042086,155093978
UOL,Portal,27726174,352124785
Bank of America,Financial,27125408,170165875
eHow,Reference,27053378,50414385
Livejasmin,Adult,26761654,96824235
ESPN,Media/news,26609162,228211456
Zynga,Gaming,25299710,358649577
Shopzilla,Retail,25098444,41706202
Comcast,Media/news,25051539,340120690
Videolan,Software,24850138,199590815
Everyday Health Network,Health,24555867,71384459
LinkedIn,Social network,24389451,82906101
Expedia,Travel,24143300,57417887
iG,Financial,24084472,193112915
Target,Retail,23366341,53819711
Dell,Computer,23324607,93176142
Globo,Media/news,23255841,281075741
Scripps Networks Digital,Media/news,23138504,97937419
NYTimes,Media/news,23004157,86938080
LimeWire,File sharing,22713814,191014302
WebMD,Health,22642174,50971280
FriendFinder Network,Online dating,22603720,61860369
Shopping.com,Retail,22504692,35849309
Nickelodeon Kids and Family Network,Children,22409321,83215007
Classmates Online,Social network,22199901,83568349
Netflix,Video,22008309,106270947
Meebo,Social network,21887117,86427247
Six Apart,Blogging,21380991,77070983
Turner Sports & Entertainment Digital Network,Media/news,21098211,70720772
Comcast,Media/news,20733129,58431587
Hewlett Packard,Computer,20721035,49312762
NexTag,Retail,20661472,33065309
NBC Universal,Media/news,20658373,61299754
Conduit,Software,20610183,124096743
Verizon,Portal,20579538,137321487
TripAdvisor,Travel,20548555,44345553
Best Buy,Retail,20074265,45170125
Monster,Recruitment,19416161,58285314
RTL Network,Media/news,19290418,158214651
Priceline Network,Retail,18956830,39405792
Experian,Financial,18645754,32564123
Pornhub,Adult,18511983,85677157
iVillage,Portal,18347399,52984051
UPS,Commerce,18220154,64947284
SuperPages,Reference,18077680,35599994
Fox News,Media/news,18061048,110993269
NFL,Sport,18060741,66811375
Dailymotion,Video,17832095,42856313
T-Online,Portal,17740389,254279320
Reed Business Information Network,Media/news,17588470,31740628
Free,Retail,17573040,126239473
Citibank,Financial,17441648,68902194
Vistaprint,Commerce,17426001,40076740
Sears,Retail,17191100,33470558
Tribune Newspapers,Media/news,17036257,59439576
Electronic Arts Online,Gaming,16580304,158185607
Megaupload,File storage,16395294,75813535
Vodafone,Portal,16316860,82765976
Geeknet,Forum,16270479,63750971
